Company,employees,anrv,latest,date
Spiro.AI,35,2546000,2500000,43621
Halp,15,2500000,2600000,43560
TriggerMesh,14,2800000,5000000,44390
"Savii, Inc",10,2765000,402523,43087
CarServ,23,2000000,1000000,43369
KlariVis,33,3900000,2500000,44013
twine,19,1200000,3300000,44365
Keyword Hero,9,2000000,100000,43101
Eight,5,4200000,500000,42590
"Switcher, Inc.",61,2500000,2400000,44228
Convert Group,78,3000000,1354374,43896
Hostfully,65,3300000,4000000,44682
Cohley,60,5000000,5000000,44392
AkitaBox,48,1000000,50000,42514
Mapistry,27,2000000,2500000,43249
impress.ai,96,4500000,3013409,44328
Prosodic,2,1400000,1400000,41044
Sigma Ratings,23,1100000,2400000,43283
Intelage,18,1100000,3500000,44103
Showdigs,30,1000000,7400000,44593
Transmute,19,3000000,2040000,44125
Gamesight,38,4090000,4300000,42356
"Heureka, Inc.",9,3000000,1800000,42941
Tettra,5,2000000,664000,42515
Conductrics INC,3,1000000,210000,41214
Aggregage,30,1400000,1000000,41948
Tantiv4,25,3100000,700000,42528
Zeplin,140,4387000,1200000,42332
back4app,12,2400000,770000,42887
Flipcause,43,4700000,2828000,43388
Asksuite,110,4000000,711345,44044
Camp Six,7,2000000,,43291
ConverSight,51,3100000,4000000,44562
Hostfully,65,3300000,4000000,44682
3Data,12,2000000,1300000,44044
Samya.ai,35,2500000,6000000,43850
CourseStorm,19,1400000,1150000,43507
GMetriXR,16,3000000,600000,44531
Localize,21,4749000,1200000,42311
Petasense,21,4000000,1800000,42907
Admiral: The Visitor Relationship Management Company,30,4000000,2600000,43547
AkitaBox,48,1000000,50000,42514
Seeloz,50,1000000,2450000,41851
mxHERO,18,4179000,500000,41849
SHOPTIQUES,18,3000000,2000000,41186
Goodzer,11,3800000,1400000,41926
"inno360, Inc.",6,3800000,371683,41732
Chameleon,67,2000000,1900000,42481
Fountain9 (YC W21),41,1000000,1900000,44378
Kwant,40,5000000,3900000,44621
The.com,14,1000000,4400000,44562
AmigoCloud Inc.,8,2800000,25000,41834
Pedagogy,41,4250000,400000,43951
Vidora,20,3620000,2500000,42705
ripe.io,14,2400000,2400000,43354
Noteworth,20,1690000,5000000,44027
Intelage,18,1100000,3500000,44103
"Altinity, Inc.",35,3000000,4000000,44105
Pumpjack Dataworks,37,5000000,300000,43740
Revelio Labs,42,4555000,4000000,44406
Cardiomo,6,2000000,100000,44061
testRigor,61,2000000,4100000,44409
Onboard.io - (YC W22) Customer Onboarding Software,10,1300000,1250000,44244
Happy Cabbage Analytics,14,3000000,1500000,44111
TrueDialog: Enterprise-Grade SMS Texting Platform,15,4181000,2000000,40774
Mode Mobile,88,4200000,1500000,41835
Quasar AI,8,2500000,2500000,43132
Evabot,52,3500000,300000,43579
Tantiv4,25,3100000,700000,42528
Second Front Systems,61,3000000,2100000,44197
"Storyvine, Inc.",18,5000000,,41671
Mentor Spaces,16,3250000,2500000,44406
"NetBeez, Inc.",13,2000000,500000,42690
ForecastEra,55,3625000,4500000,44470
BuzzSumo,8,3200000,,41730
WaystoCap (Acquired),24,3000000,3000000,42901
Fiskl,10,5000000,1150000,44105
